stock_code,corp_code,corp_name
027740,00204208,마니커
032860,00205687,더라미
128820,00828789,대성산업
246250,01112700,에스엘에스바이오
051310,00181934,플랜텍
026910,00104120,광진실업
033250,00125576,체시스
264450,01203376,유비쿼스
430690,01602638,한싹
417860,01472930,오브젠
352090,01226270,스톰테크
091590,00108001,남화토건
035290,00249502,골드앤에스
004020,00145880,현대제철
379390,01365384,이성씨엔아이
404950,01591262,디비금융제10호기업인수목적
452190,00607496,한빛레이저
013700,00129420,까뮤이앤씨
035620,00259590,바른손이앤에이
134380,00855163,미원화학
064850,00331016,에프앤가이드
095340,00572905,ISC
131100,00814786,티엔엔터테인먼트
134060,00788737,이퓨쳐
081970,00584362,케이엑스넥스지
236340,01023822,메디젠휴먼케어
018700,00122205,바른손
057680,00372688,티사이언티픽
354320,00229030,알멕
005850,00125521,에스엘
330590,01363818,롯데리츠
418420,00965512,라온텍
078890,00441304,가온그룹
112290,00619507,와이씨켐
303360,01267958,프로티아
296160,01156795,프로젠
452300,01497124,캡스톤파트너스
041020,00269852,폴라리스오피스
006040,00118026,동원산업
005960,00115612,동부건설
008830,00109310,대동기어
000370,00135917,한화손해보험
075970,00472890,동국알앤에스
005430,00156691,한국공항
023000,00191588,삼원강재
272550,01060814,삼양패키징
267260,01205851,HD현대일렉트릭
187220,00675594,디티앤씨
396770,01576713,엔에이치기업인수목적22호
298830,01012640,슈어소프트테크
274400,00965318,이노시뮬레이션
456490,01760640,교보14호스팩
115450,00552859,HLB테라퓨틱스
080160,00456218,모두투어
456570,01579020,아이엠지티
321370,01593668,센서뷰
220630,01089855,맘스터치앤컴퍼니
177350,00813389,베셀
100090,00480367,SK오션플랜트
003720,00127255,삼영
008500,00146542,일정실업
108230,00531917,톱텍
093520,00596677,매커스
353490,01450105,미래에셋대우기업인수목적5호
417790,01134216,트루엔
016380,00115676,KG스틸
225570,01096341,넥슨게임즈
426670,01631658,대신밸런스제12호기업인수목적
439090,01136977,마녀공장
063080,00535746,컴투스홀딩스
137940,00614593,넥스트아이
192520,01030132,경남은행
273640,01215618,와이엠텍
052300,00349811,씨티프라퍼티
155900,00910947,바다로19호선박투자회사
900120,00800084,씨엑스아이
367360,01505469,디비금융제9호기업인수목적
208710,01047707,바이오로그디바이스
081660,00195229,휠라홀딩스
002150,00114552,도화엔지니어링
008260,00116301,NI스틸
006920,00163318,모헨즈
013570,00117179,디와이
036480,00177320,대성미생물
008420,00121570,문배철강
054950,00361381,제이브이엠
024070,00142865,WISCOM
091700,00490151,파트론
452280,00958451,한선엔지니어링
034120,00130772,SBS
050860,00138747,아세아텍
076610,00483735,해성옵틱스
058420,00359474,제이웨이
005300,00120571,롯데칠성음료
033500,00231105,동성화인텍
347890,00670766,엠투아이
019440,00133991,세아특수강
457550,01030503,우진엔텍
471050,01792825,대신밸런스제17호스팩
275630,01250374,에스에스알
036030,00260958,케이티알파
148930,00885906,에이치와이티씨
156100,00918222,엘앤케이바이오
457630,01738483,대신밸런스제16호스팩
100590,00364740,머큐리
016880,00143651,웅진
159580,00563837,제로투세븐
246690,00778235,TS인베스트먼트
200350,00990819,래몽래인
129890,01207716,앱코
085310,00172228,엔케이
108670,00759513,LX하우시스
134790,00852087,시디즈
204320,01042775,HL만도
316140,01350869,우리금융지주
033830,00204642,티비씨
002320,00163512,한진
363260,01493535,모비데이즈
023810,00180795,인팩
086670,00524786,비엠티
100250,00646732,진양홀딩스
310200,01335578,애니플러스
096640,00609315,멜파스
447690,01680131,아이오바이오
097520,00564562,엠씨넥스
432320,01622720,KB스타리츠
456700,00874797,길교이앤씨
455310,01725160,한화플러스제4호스팩
123010,00615723,아이윈플러스
405000,01575839,플라즈맵
377400,01526949,하이제6호기업인수목적
362990,01492688,드림인사이트
070080,00430089,삼보오토
230360,01029394,에코마케팅
288620,01257872,에스퓨얼셀
066970,00398701,엘앤에프
152550,00907013,한국ANKOR유전
168490,00960641,한국패러랠
012340,00105040,뉴인텍
045510,00147772,정원엔시스
064820,00152437,케이프
032680,00204226,소프트센
014470,00243067,부방
066900,00303192,디에이피
054780,00353762,키이스트
024800,00173999,유성티엔에스
057050,00412597,현대홈쇼핑
039020,00184889,이건홀딩스
047080,00348292,한빛소프트
105760,00862312,포스뱅크
068400,00201450,에스케이렌터카
238090,00942131,앤디포스
016610,00115694,DB금융투자
448370,01700374,하나27호스팩
149300,00578130,아퓨어스
223220,01060735,로지스몬
035200,00356389,프럼파스트
067630,00365590,HLB생명과학
266870,01190780,파워풀엑스
135160,00657756,무송지오씨
043910,00418379,자연과환경
083470,00475718,이엠앤아이
095190,00526951,이엠코리아
354200,01397903,엔젠바이오
047810,00309503,한국항공우주
054630,00356927,에이디칩스
347000,01023318,센코
409570,01596665,한국제10호기업인수목적
440290,00309460,HB인베스트먼트
094850,00606770,참좋은여행
241770,00652007,메카로
272110,00769158,케이엔제이
138360,00808068,협진
211270,00874803,AP위성
372170,00925374,윤성에프앤씨
228760,01108248,지노믹트리
366030,01307335,공구우먼
333050,01407158,모코엠시스
149940,00757816,모다
284620,01263527,카이노스메드
012610,00102113,경인양행
079970,00596260,투비소프트
044820,00219574,코스맥스비티아이
296520,01229240,가이아코퍼레이션
102460,00145598,이연제약
263540,00971090,어스앤에어로스페이스
080010,00454399,이상네트웍스
091970,00542074,나노캠텍
443250,01468061,레뷰코퍼레이션
355150,01476219,코스텍시스
206400,01043853,베노티앤알
084870,00409672,티비에이치글로벌
066910,00306870,손오공
257990,00425254,나우코스
115440,00664048,우리넷
427950,01652970,하나금융23호기업인수목적
102120,00591441,어보브반도체
250030,01158632,진코스텍
004770,00138057,써니전자
019560,00162081,한국투자파트너스
060230,00363510,소니드
220100,01053540,퓨쳐켐
253450,01168684,스튜디오드래곤
264660,00605328,씨앤지하이테크
004380,00127802,삼익THK
000210,00109693,DL
115960,00372253,연우
096610,00516246,알에프세미
082740,00361008,한화엔진
306200,01325979,세아제강
307930,00598198,컴퍼니케이
045340,00355089,토탈소프트
003080,00132725,성보화학
377330,01140837,이지트로닉스
082640,00117267,동양생명
067390,00409681,아스트
092600,00537337,앤씨앤
001880,00128971,디엘건설
121440,00674498,골프존뉴딘홀딩스
472230,01797440,SK증권제11호스팩
335890,01406618,비올
407400,01586455,꿈비
024950,00128607,삼천리자전거
074600,00468374,원익QnC
199430,00672603,케이엔알시스템
111820,00689418,지유온
456040,01760738,OCI
015590,00108746,KIB플러그에너지
036200,00260569,유니셈
451800,01669226,한화리츠
149980,00977641,하이로닉
064520,00370255,테크엘
004450,00129235,삼화왕관
010280,00138303,쌍용정보통신
009320,00111689,대우부품
009440,00159971,KC그린홀딩스
388870,01495180,파로스아이바이오
370090,01357446,퓨런티어
112040,00444329,위메이드
068330,00385415,일신바이오
115570,00405959,스타플렉스
037440,00236863,희림
448280,01218299,에코아이
105560,00688996,KB금융
418620,01516890,이에이트
360350,01493793,코셈
168330,00923792,내츄럴엔도텍
204620,01042711,글로벌텍스프리
225220,01062177,제놀루션
290120,01182578,DH오토리드
468760,01787072,유진스팩10호
064510,00127699,유네코
067290,00110431,JW신약
445180,01027828,퓨릿
469900,01791561,하나31호스팩
473370,01800285,비엔케이제2호스팩
014130,00129509,한익스프레스
021960,00161408,케이비캐피탈
226360,01097906,KH 건설
298870,00682992,우리벤처파트너스
111380,00367710,동인기연
012330,00164788,현대모비스
033290,00155948,코웰패션
064290,00479787,인텍플러스
000060,00117744,메리츠화재해상보험
007120,00104786,미래아이앤지
125210,00611912,아모그린텍
002100,00101433,경농
208890,00876209,미래엔에듀파트너
004440,00109806,삼일씨엔에스
061250,00188973,화일약품
047560,00273420,이스트소프트
010050,00104102,우리종합금융
074610,00469799,이엔플러스
418550,00411808,제이오
452670,01717170,상상인제4호스팩
294140,01011395,레몬
356890,01293953,싸이버원
114840,00692254,아이패밀리에스씨
011330,00137207,유니켐
053050,00351995,지에스이
006570,00109824,대림통상
388050,01462605,지투파워
168360,00957373,펨트론
389140,01513699,포바이포
006660,00126201,삼성공조
263810,00760999,상신전자
045970,00271501,코아시아
196450,01031502,코아시아씨엠
046400,00263140,휴스토리
472850,01806951,폰드그룹
189980,00916516,흥국에프엔비
007640,00111014,애큐온저축은행
004710,00157399,한솔테크닉스
341310,01337017,이앤에치
376180,00604028,피코그램
215570,01034730,크로넥스
232830,01113499,시큐센
004490,00133858,세방전지
014830,00159786,유니드
012650,00138206,쌍용건설
138250,00406392,엔에스쇼핑
285800,00816933,진영
450050,01705625,하이제8호스팩
180060,00874937,탑선
070480,00446479,신비앤텍
451760,01685251,컨텍
150900,00638487,파수
009680,00151128,모토닉
278470,01190568,에이피알
099390,00642897,브레인즈컴퍼니
084990,00359395,헬릭스미스
426550,01632851,아이비케이에스제19호기업인수목적
114120,00618401,크루셜텍
443670,01381391,에스피소프트
065560,00393469,녹원씨엔아이
446070,01702017,유니드비티플러스
082800,00533191,비보존 제약
088800,00556907,에이스테크
148150,00913689,세경하이테크
227610,01080687,아우딘퓨쳐스
300080,01237434,플리토
035420,00266961,NAVER
269620,01188378,시스웍
138290,00890388,지성이씨에스
130740,00578538,티피씨글로벌
003450,00164876,케이비증권
169670,00610861,코스텍시스템
009830,00162461,한화솔루션
343510,01419384,하나금융16호기업인수목적
448740,01700921,삼성스팩8호
067570,00146436,엔브이에이치코리아
241690,00531865,유니테크노
192410,00623184,휴림네트웍스
457190,01762569,이수스페셜티케미컬
456440,01731453,DB금융스팩11호
002410,00122694,범양건영
071840,00158307,롯데하이마트
039830,00141556,오로라
088260,00544452,이리츠코크렙
052460,00405719,아이크래프트
361610,01386916,SK아이이테크놀로지
079000,00455875,와토스코리아
186230,00602279,그린플러스
317830,00624749,에스피시스템스
327260,01343665,RF머트리얼즈
086790,00547583,하나금융지주
037370,00261054,EG
242350,00990563,피엔아이컴퍼니
366330,01514528,신한제7호기업인수목적
336040,01118139,타스컴
028260,00149655,삼성물산
450140,01712485,코오롱모빌리티그룹
123840,00809429,뉴온
005420,00160302,코스모화학
303530,01264872,이노뎁
205470,01042979,휴마시스
002790,00154462,아모레퍼시픽그룹
138930,00858364,BNK금융지주
033340,00205003,좋은사람들
054180,00356839,메디콕스
299170,01318261,더블유에스아이
210120,00550082,빅텐츠
363250,01437858,진시스템
299670,01203507,에스엠비나
009240,00161693,한샘
042600,00147994,새로닉스
291810,01524507,핀텔
010420,00103626,한솔피엔에스
054050,00176835,농우바이오
005440,00105280,현대지에프홀딩스
078590,00230814,휴림에이텍
007390,00117276,네이처셀
019590,00136642,엠벤처투자
056090,00346610,이노시스
289010,00983934,아이스크림에듀
003560,00154426,아이에이치큐
411080,01242241,샌즈랩
050540,00302078,엠피씨플러스
331520,01398151,밸로프
047920,00336817,HLB제약
014710,00124780,사조씨푸드
143240,00857480,사람인
000810,00139214,삼성화재해상보험
010660,00166500,화천기계
117580,00787376,대성에너지
437730,00262266,삼현
238170,01011872,엔에스엠
150440,00990262,피노텍
069260,00426086,티케이지휴켐스
240810,01135941,원익IPS
337930,01391103,브랜드엑스코퍼레이션
072770,00583026,율호
086960,00445841,MDS테크
032750,00173351,삼진
095910,00585538,에스에너지
271780,01221947,비엔에프머티리얼즈
051780,00296324,큐로홀딩스
396270,01515864,넥스트칩
372290,01513404,하나머스트7호기업인수목적
452430,01676642,사피엔반도체
216080,01222867,제테마
005670,00165103,푸드웰
378800,01387164,샤페론
448730,01688896,삼성FN리츠
086460,00548519,큐러블
235980,01336373,메드팩토
053580,00323868,웹케시
011080,00142713,형지I&C
417010,01524118,나노팀
002840,00121932,미원상사
053280,00362858,예스24
102940,00525642,코오롱생명과학
234100,00617998,폴라리스세원
035510,00219486,신세계I&C
189860,00869272,서전기전
144510,01010642,지씨셀
060980,00299002,HL홀딩스
051900,00356370,LG생활건강
058650,00377610,세아홀딩스
089030,00535676,테크윙
054300,00339072,팬스타엔터프라이즈
322310,01016479,오로스테크놀로지
226440,01101722,한송네오텍
053350,00353610,이니텍
217480,01099667,에스디생명공학
245030,00664288,스페이스솔루션
162120,00886792,루켄테크놀러지스
405100,01033591,큐알티
002670,00115472,미주제강
336060,01408999,웨이버스
199730,01110058,바이오인프라
120110,00795135,코오롱인더
326030,00878696,에스케이바이오팜
309960,00231901,LB인베스트먼트
285130,01267170,SK케미칼
343090,01413371,HLB사이언스
006140,00155735,피제이전자
290690,00605522,소룩스
044180,00111218,KD
273060,01236532,와이즈버즈
025530,00181943,에스제이엠홀딩스
112240,00450339,에스에프씨
093370,00595191,후성
358570,01351080,지아이이노베이션
131760,00820352,파인텍
002550,00120216,KB손해보험
011930,00136271,신성이엔지
068100,00426828,케이웨더
183410,00764807,골프존데카
018470,00149239,조일알미늄
445680,01498974,큐리옥스바이오시스템즈
259630,00833064,엠플러스
419050,01526806,삼기이브이
317860,01328170,노드메이슨
389020,01365038,자람테크놀로지
317770,01231786,엑스페릭스
367340,01505450,디비금융제8호기업인수목적
137400,00612294,피엔티
035600,00264547,KG이니시스
000500,00104768,가온전선
046440,00405278,KG모빌리언스
004840,00118266,DRB동일
014790,00161116,HL D&I
318000,00876166,KBG
031430,00234412,신세계인터내셔날
256630,01179608,포인트엔지니어링
055550,00382199,신한지주
158430,00595182,아톤
119850,00626464,지엔씨에너지
150840,00661157,인트로메딕
222080,01090471,씨아이에스
290550,01137903,디케이티
294090,01274310,이오플로우
333620,01310773,엔시스
950200,01442115,소마젠
388790,01569102,라이콤
003280,00167208,흥아해운
206950,00756163,볼빅
137080,00362122,나래나노텍
417200,01528141,LS머트리얼즈
043290,00297961,케이맥
321550,01335930,티움바이오
064090,00390408,웨스트라이즈
406820,01147487,뷰티스킨
008290,00144021,원풍물산
215790,01065679,이노인스트루먼트
172670,00493325,에이엘티
450410,01705777,엔에이치기업인수목적28호
109670,00492706,씨싸이트
018290,00150165,브이티
054220,00201432,비츠로시스
078650,00477257,지나인제약
455910,01725577,SK증권제9호스팩
226950,01113718,올릭스
065440,00390514,이루온
013030,00165060,하이록코리아
089860,00545716,롯데렌탈
178920,00767460,PI첨단소재
271940,00972503,일진하이솔루스
208140,01047415,정다운
267270,01205842,HD현대건설기계
456190,01205514,큐라켐
126600,00599595,BGF에코머티리얼즈
002630,00141626,오리엔트바이오
078130,00104573,국일제지
208340,00972293,파멥신
257370,01144569,피엔티엠에스
229640,01093007,LS에코에너지
093510,00521433,엔지브이아이
288980,01423837,모아데이타
263600,00571298,덕우전자
017900,00152729,광전자
420770,00765569,기가비스
097780,00562360,에코볼트
121800,00693651,비덴트
044490,00186799,태웅
247660,00660459,나노씨엠에스
417840,01383229,저스템
116100,00442631,태양기계
356860,00920379,티엘비
006250,00105165,극동전선
023760,00149594,한국캐피탈
020710,00170026,시공테크
224810,00607797,엄지하우스
267810,01187865,앙츠
424960,01555215,스마트레이더시스템
001940,00159740,KISCO홀딩스
032850,00231707,비트컴퓨터
086280,00360595,현대글로비스
041920,00273439,메디아나
472220,01796858,신영스팩10호
126560,00403632,현대퓨처넷
415380,01540815,스튜디오삼익
050890,00364403,쏠리드
460850,01765256,동국씨엠
031980,00208444,피에스케이홀딩스
003680,00161860,한성기업
272290,01237540,이녹스첨단소재
408920,01596656,메쎄이상
044060,00291860,조광ILI
093230,00480950,이아이디
091990,00554024,셀트리온헬스케어
023440,00148531,제이스코홀딩스
001340,00122472,백광산업
069960,00428251,현대백화점
004970,00135962,신라교역
348340,01336461,뉴로메카
267080,01575361,세븐브로이맥주
332570,01015160,와이팜
041960,00187415,코미팜
066410,00378220,버킷스튜디오
003480,00163673,한진중공업홀딩스
090460,00447609,비에이치
001570,00106119,금양
016710,00108940,대성홀딩스
293580,00651017,나우IB
400560,01583397,하나금융20호기업인수목적
469480,01792791,IBKS제24호스팩
435870,01671197,SK증권제8호스팩
219130,00617314,타이거일렉
089140,00416414,넥스턴바이오
163560,00939687,동일고무벨트
377450,01210066,리파인
065420,00120906,에스아이리소스
035890,00219848,서희건설
298380,01256864,에이비엘바이오
267250,01205709,HD현대
098120,00568188,마이크로컨텍솔
009970,00140964,영원무역홀딩스
216280,00311270,원텍
003050,00110547,넥상스코리아
322780,01364297,코퍼스코리아
000030,00254045,우리은행
418250,01579570,시큐레터
014820,00132637,동원시스템즈
950190,01416235,고스트스튜디오
051630,00347734,진양화학
322000,01199550,HD현대에너지솔루션
372320,01492651,큐로셀
080580,00543107,오킨스전자
089010,00371485,켐트로닉스
413640,01462739,비아이매트릭스
170030,00164502,현대공업
192080,01010110,더블유게임즈
278650,01189438,HLB바이오스텝
267060,01190513,명진홀딩스
453340,01721809,현대그린푸드
001430,00106669,세아베스틸지주
001290,00112059,상상인증권
006120,00131832,SK디스커버리
022220,00140061,TKG애강
019550,00156910,SBI인베스트먼트
010770,00155124,평화홀딩스
023790,00172945,동일철강
000990,00160843,DB하이텍
027360,00156895,아주IB투자
063440,00367604,SM Life Design
033660,00209443,우리금융캐피탈
005810,00155531,풍산홀딩스
200710,00657002,에이디테크놀로지
058820,00380429,CMG제약
340810,01315042,씨유박스
357120,01430475,코람코라이프인프라리츠
013340,00138695,뉴아세아
381970,01323032,케이카
221980,00370918,케이디켐
009900,00173078,명신산업
029460,00209780,케이씨
095570,00365387,AJ네트웍스
099410,00526678,동방선기
072710,00459871,농심홀딩스
402030,00601988,코난테크놀로지
090080,00573579,평화산업
104460,00602136,디와이피엔에프
092130,00634728,이크레더블
145270,00861076,케이탑리츠
192390,00910840,윈하이텍
027050,00152589,코리아나
124560,00562245,태웅로직스
023410,00184667,유진기업
014200,00103635,광림
073540,00442561,에프알텍
017650,00109781,대림제지
290650,01181515,엘앤씨바이오
312610,01223219,에이에프더블류
334970,01258428,프레스티지바이오로직스
333430,01396676,일승
056000,00361266,코원플레이
424140,01621280,케이비제21호스팩
050120,00175623,ES큐브
215050,01055317,비엔디생활건강
229000,01051472,젠큐릭스
024830,00173591,세원물산
030200,00190321,케이티
338220,01344202,뷰노
036930,00252135,주성엔지니어링
111770,00776820,영원무역
302920,00991225,더콘텐츠온
140070,00599285,서플러스글로벌
052770,00346911,아이톡시
062860,00261887,티엘아이
023770,00138367,플레이위드
154030,00867478,아시아종묘
099190,00550994,아이센스
176590,00666329,코나솔
383310,01566248,에코프로에이치엔
